id,web_name,team,element_type,now_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,selected_by_percent,form,points_per_game,value_season,transfers_in,transfers_out,position
88,Collins,4,2,4.5,2610,2,5,5,45,0,0,0,4,0,0,5,401,791.6,119.6,248.0,116.0,90,3.0,3.6,3.1,20.0,664765,415748,DEF
89,Damsgaard,4,3,5.1,2217,2,9,8,32,0,0,0,2,0,0,10,506,628.8,808.3,286.0,172.3,108,1.9,3.6,3.7,21.2,482943,291177,MID
90,Dasilva,4,3,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,408,1106,MID
91,Flekken,4,1,4.4,2465,0,1,4,43,0,0,0,1,0,122,5,439,1022.6,20.3,0.0,104.0,96,10.0,5.2,3.4,21.8,1509780,1503612,GKP
92,Henry,4,2,4.3,3,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.3,0.0,0.1,1,0.0,0.0,1.0,0.2,2110,7941,DEF
93,Hickey,4,2,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,693,3023,DEF
94,Janelt,4,3,4.9,2098,1,3,6,36,2,0,0,3,0,0,2,361,326.8,264.0,127.0,71.8,68,0.2,2.0,2.4,13.9,112491,114385,MID
95,Jensen,4,3,5.3,728,0,1,2,14,0,0,0,1,0,0,1,138,114.4,205.9,32.0,35.5,28,0.1,0.4,1.8,5.3,8143,21383,MID
96,Ji-soo,4,2,3.9,28,0,0,0,0,0,0,0,0,0,0,0,8,5.0,0.8,0.0,0.6,3,0.3,0.2,1.0,0.8,49892,46146,DEF
97,Konak,4,3,4.4,27,0,0,0,2,0,0,0,0,0,0,0,22,7.8,3.7,3.0,1.2,7,0.1,0.4,1.0,1.6,10458,11909,MID
98,Lewis-Potter,4,3,5.0,2367,1,4,6,40,0,0,0,4,0,0,0,365,434.0,354.4,360.0,115.0,75,0.1,2.4,2.6,15.0,28868,26894,MID
99,Mbeumo,4,3,8.1,2605,15,6,6,43,0,0,0,2,0,0,24,709,927.6,824.9,788.0,254.3,179,41.6,6.0,6.2,22.1,8473067,4496276,MID
100,Mee,4,2,4.2,180,0,0,1,4,0,0,0,2,0,0,0,30,36.8,3.0,6.0,4.6,9,0.3,0.2,1.3,2.1,29854,87722,DEF
101,Nørgaard,4,3,4.8,2010,4,2,3,33,0,0,0,4,1,0,4,426,538.8,267.0,265.0,107.2,73,0.2,4.2,2.9,15.2,57580,55002,MID
102,Onyeka,4,3,4.9,23,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.5,0.0,0.0,2,0.0,0.0,1.0,0.4,648,3948,MID
103,Peart-Harris,4,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,913,4696,MID
104,Pinnock,4,2,4.4,1830,2,0,2,33,1,0,0,2,0,0,0,228,528.8,100.4,189.0,82.0,46,0.3,2.6,2.2,10.5,183353,204607,DEF
105,Roerslev,4,2,4.3,1100,0,2,2,20,0,0,0,2,0,0,0,125,214.4,185.8,78.0,48.0,36,0.1,0.0,1.9,8.4,18746,23914,DEF
106,Schade,4,3,5.1,1562,7,4,7,24,0,0,0,2,0,0,7,335,418.0,196.5,573.0,118.4,104,1.3,3.8,3.6,20.4,331562,209937,MID
107,Thiago,4,4,5.9,129,0,0,0,2,0,0,0,0,0,0,0,20,10.8,27.9,6.0,4.2,5,0.0,0.0,1.2,0.8,3789,5828,FWD
108,Toney,4,4,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1.1,0.0,0.0,0.0,43376,804982,FWD
109,Valdimarsson,4,1,3.9,144,0,0,0,2,0,0,0,0,0,3,0,14,21.4,0.1,0.0,2.1,2,4.1,0.0,1.0,0.5,447075,406193,GKP
110,Wissa,4,4,6.5,2111,13,3,6,33,0,0,0,2,0,0,23,531,599.8,282.5,834.0,171.0,132,17.3,5.8,5.1,20.3,4374949,2853185,FWD
111,Yarmoliuk,4,3,4.4,781,0,0,0,17,0,0,0,3,0,0,0,162,166.6,126.8,83.0,37.6,26,2.4,0.8,1.2,5.9,554610,608049,MID
112,Zanka,4,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4123,DEF
314,Carvalho,4,3,4.5,443,2,1,0,14,0,0,0,1,0,0,1,127,142.2,71.5,154.0,36.3,35,0.4,1.4,1.8,7.8,186811,285232,MID
338,Van den Berg,4,2,4.1,1774,0,1,2,37,0,0,0,1,0,0,1,148,416.8,77.7,140.0,63.6,38,1.8,0.4,1.7,9.3,631888,500714,DEF
602,Trevitt,4,3,4.4,3,0,0,0,0,0,0,0,0,0,0,0,5,2.6,0.1,0.0,0.3,1,0.0,0.0,1.0,0.2,9155,9976,MID
634,G.Nunes,4,3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,461,503,MID
649,Meghoma,4,2,4.0,4,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,1,0.0,0.0,1.0,0.2,5922,5964,DEF
661,Yogane,4,3,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2806,2578,MID
674,Maghoma,4,3,4.5,105,0,0,0,1,0,0,0,0,0,0,0,27,25.4,15.5,10.0,5.1,7,0.0,0.4,1.0,1.6,1813,1245,MID
